"LIBRARYREFERENCE","FOOTPRINT1","ACCESS TIME","ADDRESS BUS WIDTH","BRAND","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","CONTINUOUS DRAIN CURRENT ID","CURRENT ID MAX","CURRENT RATING","CURRENT TEMPERATURE","DATA BUS WIDTH","DATASHEET URL","DATASHEET VERSION","DC RESISTANCE (DCR)","DENSITY","DEPTH","DIELECTRIC","DIELECTRIC MATERIAL","DISSIPATION FACTOR","DRAIN SOURCE VOLTAGE VDS","ESD HBM","ESR (EQUIVALENT SERIES RESISTANCE)","EXTERNAL DEPTH","EXTERNAL LENGTH / HEIGHT","EXTERNAL WIDTH","FACTORY PACK QUANTITY","FEATURES","FREQUENCY","FULL POWER RATING TEMPERATURE","HEIGHT","HEIGHT - SEATED (MAX)","INDUCTANCE","INPUT VOLTAGE","INPUT VOLTAGE MAX","INPUT VOLTAGE MIN","INTERFACE","LEAD FREE","LEAD PITCH","LEAKAGE CURRENT","LENGTH","LOAD REGULATION","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER URL","MATERIAL","MAX DC CURRENT","MAX FREQUENCY","MAX OPERATING TEMPERATURE","MAX SUPPLY CURRENT","MAX SUPPLY VOLTAGE","MAXIMUM OPERATING TEMPERATURE","MEMORY SIZE","MEMORY TYPE","MIN OPERATING TEMPERATURE","MIN SUPPLY VOLTAGE","MINIMUM OPERATING TEMPERATURE","MOUNT","MOUNTING STYLE","MOUNTING TECHNOLOGY","NO. OF PINS","NO. OF TRANSISTORS","NOMINAL SUPPLY CURRENT","NUMBER OF OUTPUTS","NUMBER OF PINS","ON RESISTANCE RDS(ON)","OPERATING SUPPLY CURRENT","OPERATING SUPPLY VOLTAGE","OPERATING TEMPERATURE MAX","OPERATING TEMPERATURE MIN","OPERATING TEMPERATURE RANGE","OUTPUT CURRENT","OUTPUT VOLTAGE","PACKAGE / CASE","PACKAGE DESCRIPTION","PACKAGE QUANTITY","PACKAGE REFERENCE","PACKAGE URL","PACKAGE VERSION","PACKAGING","PD - POWER DISSIPATION","POLARITY","POWER DISSIPATION PD","PRICING 1","PRODUCT","PRODUCT CATEGORY","PULSE CURRENT IDM","RADIATION HARDENING","RDS(ON) TEST VOLTAGE VGS","REACH SVHC","REEL QUANTITY","RESISTANCE","RIPPLE CURRENT","ROHS","SATURATION CURRENT","SELF RESONANT FREQUENCY","SERIES","SHIELDING","SHUTDOWN","SMD MARKING","STOCK 1","SUPPLIER 1","SUPPLIER PART NUMBER 1","SVHC","SWITCHING FREQUENCY","TAPE WIDTH","TERMINATION","TERMINATION TYPE","TEST FREQUENCY","THICKNESS","THRESHOLD VOLTAGE VGS TYP","TOLERANCE","TOPOLOGY","TRANSISTOR CASE STYLE","TRANSISTOR POLARITY","TYPE","UNIT WEIGHT","VOLTAGE RATING","VOLTAGE RATING (DC)","VOLTAGE VDS TYP","VOLTAGE VGS MAX","VOLTAGE VGS RDS ON MEASUREMENT","VOLTAGE VGS TH MAX","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"C2012X7R1A475K085AC","CAP0805","","","","4.7uF","0805","2012","0805","4.7uF","https://datasheet.ciiva.com/14886/tdkmlcccaprange-14886121.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/14886/tdkmlcccaprange-14886121.pdf?src-supplier=Digi-Key","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","","","","","","","","","","","","","","","","","","","","","X7R","Ceramic","","","","","","","","","","","","","","","","","","","Lead Free","","","0.079inch","","TDK","C2012X7R1A475K085AC","","","","","125°C","","","","","","-55°C","","","Surface Mount","","","","","","","","","","","","","","","","","","4000","","","","Cut Tape","","","","1=0.22000, 10=0.15200, 100=0.08600, 500=0.06072, 1000=0.05313 (USD)","","","","","","No SVHC","","","","Yes","","","","","","","87407","Digi-Key","","","","","","","","0.039inch","","10%","","","","","","10V","10V","","","","","0.049inch","*","C?","MLCC 4.7uF 0805 SMD"
"CMP-2000-04935-1","FAIR-SOT23-3_V","","","","","","","","FDV301N","","","","","","","","","","","","","","","220mA","220mA","","25degC","","https://datasheet.ciiva.com/8114/fdv301n-8114688.pdf","Jun-09","","","","","","","25V","6kV","","2.5mm","1.12mm","3.05mm","","","","25degC","","","","","","","","","","","","","Fairchild","","https://www.fairchildsemi.com/","","","","","","","","","","","","","","","","3","1","","","","5ohm","","","150degC","-55degC","-55degCto+150degC","","","SOT-23","3-Pin Small Outline Transistor, Body 2.92 x 1.325 mm, Pitch 0.95 mm","","SOT23-3","http://www.fairchildsemi.com/dwg/MA/MA03D.pdf","Rev. 12, 03/2016","","","","350mW","","","","500mA","","2.7V","","3000","","","","","","","","","301","","","","NoSVHC(19-Dec-2012)","","8mm","","SMD","","","850mV","","","SOT-23","NChannel","","","","","25V","850mV","4.5V","1.5V","","*","Q?","Digital FET, N-Channel, 0.35 W, 25 V, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"
"GRM188R70J474KA01D","CAP0603","","","","470nF","0603","1608","0603","470nF","https://datasheet.ciiva.com/6264/product-6264161.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/product-6264161.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/11673/product-11673478.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/11673/product-11673478.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264159.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264159.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","0.8mm","X7R","","","","","","","","","","","","","0.8mm","","","","","","","Lead Free","","","1.6mm","","Murata","GRM188R70J474KA01D","","","","","125°C","","","","","","-55°C","","","Surface Mount","","","","","","","","","","","","","","","","","","4000","","","","Tape and Reel","","","","1=0.17000, 10=0.11700, 100=0.05940, 500=0.04066, 1000=0.03597 (USD)","","","","No","","","","","","Yes","","","","","","","92537","Digi-Key","","","","","SMD/SMT","","","0.035inch","","10%","","","","","","6.3V","6.3V","","","","","0.031inch","*","C?","MLCC 470nF 0603 SMD"
"GRM32EE70G107ME19","CAP1210","","","","100uF","1210","3225","1210","100uF","https://datasheet.ciiva.com/5422/product-5422439.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/5422/product-5422439.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264538.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264538.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/7719/1303574-7719178.pdf?src-supplier=Element14","https://datasheet.ciiva.com/7719/1303574-7719178.pdf?src-supplier=Element14","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264539.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264539.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/14116/grmseries-highdielectrictype-eng-14116427.pdf?src-supplier=Distrelec","https://datasheet.ciiva.com/14116/grmseries-highdielectrictype-eng-14116427.pdf?src-supplier=Distrelec","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264540.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264540.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/11605/product-11605486.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/11605/product-11605486.pdf?src-supplier=Avnet","","","","","","","","","","2.5mm","X7U","","","","","","","","","","","","","2.5mm","","","","","","","Lead Free","1mm","","3.2mm","","Murata","GRM32EE70G107ME19L","","Ceramic","","","125°C","","","","","","-55°C","","","Surface Mount","","","","","","","2","","","","","","","","","","","1","","","","Tape and Reel","","","","1=1.27000, 10=1.00100, 100=0.75060, 500=0.56716 (USD)","","","","No","","No SVHC","","","","Yes","","","","","","","18905","Digi-Key","","","","","SMD/SMT","","","0.106inch","","20%","","","","","","4V","4V","","","","","2.5mm","*","C?","MLCC 100uF 1210 SMD"
"GRM32ER70J476ME20L","CAP1210","","","","47uF","1210","3225","1210","47uF","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264582.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264582.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264583.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264583.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264585.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/6264/partnumbering-e-01-6264585.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/16497/product-16497003.pdf?src-supplier=Future+Electronics","https://datasheet.ciiva.com/16497/product-16497003.pdf?src-supplier=Future+Electronics","","","","","","","","","","","","","","","","2.5mm","X7R","","","","","","","","","","","","","2.5mm","","","","","","","Lead Free","","","3.2mm","","Murata","GRM32ER70J476ME20L","","","","","125°C","","","","","","-55°C","","","Surface Mount","","","","","","","","","","","","","","","","","","1","","","","Tape and Reel","","","","1=2.11000, 10=1.70900, 100=1.30480, 500=0.99416 (USD)","","","","No","","","","","","Yes","","","","","","","32926","Digi-Key","","","","","SMD/SMT","","","0.106inch","","20%","","","","","","6.3V","6.3V","","","","","0.098inch","*","C?","MLCC 47uF 1210 SMD"
"IS43TR16256A-125KBL","BGA96C80P9X16_900X1300X120","20ns","18b","","","","","TFBGA","","http://components.arrow.com/part/dataview/0323_06942300?src-supplier=Arrow+Europe","http://components.arrow.com/part/dataview/0323_06942300?src-supplier=Arrow+Europe","http://www.mouser.com/ds/2/198/43-46TR16256A-85120AL-268426.pdf?src-supplier=Mouser","http://www.mouser.com/ds/2/198/43-46TR16256A-85120AL-268426.pdf?src-supplier=Mouser","http://www.issi.com/WW/pdf/43-46TR16256A-85120AL.pdf?src-supplier=Digi-Key","http://www.issi.com/WW/pdf/43-46TR16256A-85120AL.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","16b","","","","4Gb","","","","","","","","","","","","","800MHz","","","","","","","","Parallel","","","","","","ISSI","IS43TR16256A-125KBL","","","","800MHz","95°C","290mA","1.575V","","4Gb","RAM,DDR3 SDRAM","0°C","1.425V","","Surface Mount","","","","","230mA","","96","","","1.5V","","","","","","","","190","","","","Tray","","","","1=8.69000, 10=8.00000, 25=7.81000, 50=7.81000, 100=7.00000, 250=6.79000, 500=6.46000, 1000=6.46000, 10000=6.46000 (USD)","","","","","","","","","","Yes","","","","","","","380","Mouser","","","","","","","","","","","","","","","","","","","","","","","*","IC?","DRAM 4G, 1.5V, 1600Mhz DDR3 SDRAM"
"NOSD337M002R0035","KEMET-D","","","","330uF","2917","7343","2917","330uF","https://datasheet.ciiva.com/1469/84582-1469766.pdf?src-supplier=Farnell","https://datasheet.ciiva.com/1469/84582-1469766.pdf?src-supplier=Farnell","https://datasheet.ciiva.com/257/nos-257357.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/257/nos-257357.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/1460/84582-1460413.pdf?src-supplier=Element14","https://datasheet.ciiva.com/1460/84582-1460413.pdf?src-supplier=Element14","https://datasheet.ciiva.com/1469/84582-1469767.pdf?src-supplier=Farnell","https://datasheet.ciiva.com/1469/84582-1469767.pdf?src-supplier=Farnell","https://datasheet.ciiva.com/1460/84582-1460412.pdf?src-supplier=Element14","https://datasheet.ciiva.com/1460/84582-1460412.pdf?src-supplier=Element14","","","","","","","","","","","","","","4.3mm","","Tantalum","6%","","","35mR","","","","","","","","3.1mm","0.122inch","","","","","","","","16.5uA","7.3mm","","Kyocera AVX","NOSD337M002R0035","","","","","125°C","","","","","","-55°C","","","Surface Mount","","","","","","","2","","","","","","","","","","","500","","","","Tape and Reel","","","","1=11.56000, 10=11.56000, 50=10.46000, 100=9.15000, 500=3.39000, 1000=3.39000, 10000=3.39000 (USD)","","","","No","","No SVHC","","0.035R","2.268A","Yes","","","","","","","336","Mouser","","","","","SMD/SMT","","","","","20%","","","","","","2.5V","2.5V","","","","","4.3mm","*","C?","Niobium Oxide Cap 330uF KEMET-D SMD"
"T525D337M006ATE025","KEMET-D","","","","330uF","2917","7343","2917","330uF","https://datasheet.ciiva.com/3798/f3102-t525-3798112.pdf?src-supplier=Arrow","https://datasheet.ciiva.com/3798/f3102-t525-3798112.pdf?src-supplier=Arrow","https://datasheet.ciiva.com/5459/kem-t2017-t525-225624-5459232.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/5459/kem-t2017-t525-225624-5459232.pdf?src-supplier=Mouser","https://datasheet.ciiva.com/261/kem-t2017-t525-261987.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/261/kem-t2017-t525-261987.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/261/kem-t2017-t525-261986.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/261/kem-t2017-t525-261986.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/261/kem-t2017-t525-261988.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/261/kem-t2017-t525-261988.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","4.3mm","","Tantalum","10%","","","25mR","","","","","General Purpose","","","3.1mm","0.122inch","","","","","","Lead Free","","280uA","7.3mm","","KEMET","T525D337M006ATE025","","","","","125°C","","","","","","-55°C","","","Surface Mount","","","","","","","2","","","","","","","","","","","1","","","","Tape and Reel","","Polar","","1=3.73000, 10=3.00400, 100=2.34340 (USD)","","","","","","No SVHC","","","800uA","Yes","","","","","","","1126","Digi-Key","","","","","SMD/SMT","","","","","20%","","","","","","6.3V","6.3V","","","","","4.3mm","*","C?","Tant Poly Cap 330uF KEMET-D"
"T530X687M006ATE018","KEMET-D","","","","680uF","2917","7343","2917","680uF","https://datasheet.ciiva.com/22691/1761610-22691523.pdf?src-supplier=Element14","https://datasheet.ciiva.com/22691/1761610-22691523.pdf?src-supplier=Element14","https://datasheet.ciiva.com/11214/datasheetpn-t530x687m006ate018-11214052.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/11214/datasheetpn-t530x687m006ate018-11214052.pdf?src-supplier=Avnet","https://datasheet.ciiva.com/22691/1763371-22691524.pdf?src-supplier=Element14","https://datasheet.ciiva.com/22691/1763371-22691524.pdf?src-supplier=Element14","https://datasheet.ciiva.com/262/docfinderpartnumber-t530x687m006ate018-262864.pdf?src-supplier=Digi-Key","https://datasheet.ciiva.com/262/docfinderpartnumber-t530x687m006ate018-262864.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","4.3mm","","","8%","","","18mR","","","","","General Purpose","","","4.3mm","0.169inch","","","","","","","","428uA","7.3mm","","KEMET","T530X687M006ATE018","","","","","125°C","","","","","","-55°C","","","Surface Mount","","","","","","","","","","","","","","","","","","1","","","","Tape and Reel","","Polar","","1=6.08000, 10=5.40500, 100=4.32400 (USD)","","","","No","","No SVHC","","","3.9A","Yes","","","","","","","14514","Digi-Key","","","","","SMD/SMT","","","","","20%","","","","","","6.3V","6.3V","","","","","0.169inch","*","C?","Tant Poly Cap 680uF KEMET-D SMD"
"TPS65400RGZ","RGZ0048B_V","","","TexasInstruments","","","","","","","","","","","","","","","","","","","","","","","","","http://www.ti.com/lit/ds/symlink/tps65400.pdf","Rev. B, 09/2015","","","","","","","","","","","","","250","","","","1mm","","","4.5Vto18V","18V","4.5V","","","","","7.15mm","0.1%/A","TexasInstruments","","http://www.ti.com/","","","","","","","+85C","","","","","-40C","","SMD/SMT","SurfaceMount","","","","4Output","","","6.3mA","","","","-40Cto+85C","4A","0.6V","VQFN-48","48-Pin Plastic Quad Flat No-lead Package, Body 7 x 7 mm, Pitch 0.5mm, Thermal Pad 4.08 x 4.08 mm","","RGZ0048B","","","Reel","4.5W","","","","SwitchingRegulators","VoltageRegulators-SwitchingRegulators","","","","","","","","True","","","TPS65400","","Shutdown","","","","","","2.2MHz","","","","","","","","Buck","","","SwitchingRegulator","0.004938oz","","","","","","","7.15mm","*","IC?","Flexible Power Management Unit with PMBus/I2C Interface, 4.5 to 18 V, -40 to 85 degC, 48-Pin VQFN (RGZ), Green (RoHS & no Sb/Br), Tape and Reel"
"TYS60282R2N-10","","","","","","","","Nonstandard","*","http://www.mouser.com/ds/2/223/SIP-DS-TYS%206028%200413-558563.pdf?src-supplier=Mouser","http://www.mouser.com/ds/2/223/SIP-DS-TYS%206028%200413-558563.pdf?src-supplier=Mouser","","","https://assets.lairdtech.com/home/brandworld/files/Catalog_Power%20Inductor%20TYS%20SERIES%200617.pdf?src-supplier=Digi-Key","https://assets.lairdtech.com/home/brandworld/files/Catalog_Power%20Inductor%20TYS%20SERIES%200617.pdf?src-supplier=Digi-Key","","","","","","","","","","","3.75A","","","","","20mR","","","","","","","","","","","","","","","","2.8mm","0.118inch","2.2uH","","","","","","","","0.236inch","","Laird Steward","TYS60282R2N-10","","","3.75A","","125°C","","","","","","-40°C","","","Surface Mount","","","","","","","","","","","","","","","","","","2000","","","","Tape and Reel","","","","1=0.67000, 10=0.58700, 100=0.41940, 500=0.35226, 1000=0.28516 (USD)","","","","","","","","","","Yes","5.1A","48MHz","","Shielded","","","7309","Digi-Key","240-2731-1-ND","","","","SMD/SMT","","100kHz","","","30%","","","","","","","","","","","","0.236inch","*","*","Fixed inductor 2.2uH 3.75A 20 MOhm"
"XC7Z020-1CLG400C","BGA400C80P20X20_1700X1700X147","","","","","","","","*","Digi-Key","https://www.digikey.com/product-detail/en/xilinx-inc/XC7Z020-1CLG400C/122-1851-ND/3925758?utm_adgroup=Integrated Circuits&slid=&gclid=Cj0KCQjwn_LrBRD4ARIsAFEQFKtYXIOPieaS_xsLL2AvFALkVw3M5siD0KQOWM0owpA_yiQuHKATBqcaAuQ6EALw_wcB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","IC?","Zynq-7000 SoC."
